Sequence	MissingNumber
A1BG.fas	32
A1CF.fas	2
A2M.fas	12
A2ML1.fas	47
A3GALT2.fas	45
A4GALT.fas	30
A4GNT.fas	9
AAAS.fas	2
AACS.fas	6
AADAC.fas	191
AADACL3.fas	36
AADAT.fas	11
AAGAB.fas	4
AAK1.fas	22
AAMDC.fas	13
AAMP.fas	0
AANAT.fas	43
AAR2.fas	8
AARD.fas	63
AARS1.fas	2
AARS2.fas	1
AARSD1.fas	10
AASDH.fas	7
AASDHPPT.fas	4
AASS.fas	5
AATF.fas	1
AATK.fas	26
ABAT.fas	5
ABC7-42404400C24.fas	47
ABCA1.fas	19
ABCA10.fas	182
ABCA12.fas	6
ABCA2.fas	28
ABCA3.fas	8
ABCA4.fas	6
ABCA5.fas	3
ABCA6.fas	26
ABCA7.fas	56
ABCA8.fas	107
ABCA9.fas	66
ABCB1.fas	23
ABCB10.fas	5
ABCB11.fas	3
ABCB4.fas	17
ABCB5.fas	27
ABCB6.fas	0
ABCB7.fas	8
ABCB8.fas	3
ABCB9.fas	4
ABCC1.fas	28
ABCC10.fas	3
ABCC11.fas	70
ABCC12.fas	55
ABCC2.fas	11
ABCC3.fas	18
ABCC5.fas	6
ABCC6.fas	23
ABCC8.fas	6
ABCC9.fas	3
ABCD1.fas	10
ABCD2.fas	6
ABCD3.fas	6
ABCD4.fas	6
ABCE1.fas	1
ABCF1.fas	8
ABCF2.fas	1
ABCF3.fas	0
ABCG1.fas	8
ABCG4.fas	1
ABCG5.fas	6
ABCG8.fas	10
ABHD1.fas	75
ABHD10.fas	5
ABHD11.fas	1
ABHD12.fas	3
ABHD12B.fas	15
ABHD13.fas	6
ABHD14A.fas	6
ABHD14B.fas	3
ABHD15.fas	15
ABHD16A.fas	1
ABHD16B.fas	41
ABHD17A.fas	6
ABHD17B.fas	3
ABHD17C.fas	72
ABHD18.fas	4
ABHD2.fas	3
ABHD3.fas	7
ABHD4.fas	3
ABHD5.fas	1
ABHD6.fas	6
ABHD8.fas	13
ABI1.fas	1
ABI2.fas	2
ABI3.fas	1
ABI3BP.fas	9
ABITRAM.fas	6
ABL1.fas	5
ABL2.fas	12
ABLIM1.fas	4
ABLIM2.fas	5
ABLIM3.fas	4
ABO.fas	192
ABR.fas	6
ABRA.fas	3
ABRACL.fas	5
ABRAXAS1.fas	5
ABRAXAS2.fas	4
ABT1.fas	5
ABTB1.fas	17
ABTB2.fas	2
AC001226.fas	19
AC004067.fas	17
AC005281.fas	138
AC005787.fas	13
AC007040.fas	9
AC007326.fas	16
AC007906.fas	7
AC008397.fas	85
AC009412.fas	30
AC010973.fas	9
AC022506.fas	1
AC024558.fas	269
AC037459.fas	7
AC055839.fas	32
AC068870.fas	19
AC083977.fas	3
AC084756.fas	2
AC092442.fas	8
AC092835.fas	18
AC093323.fas	177
AC093512.fas	6
AC099569.fas	4
AC114402.fas	4
AC116366.fas	12
AC118281.fas	289
AC119676.fas	0
AC138647.fas	33
AC242628.fas	4
ACAA1.fas	8
ACAA2.fas	5
ACACA.fas	4
ACACB.fas	7
ACAD10.fas	54
ACAD11.fas	13
ACAD8.fas	5
ACAD9.fas	26
ACADL.fas	16
ACADM.fas	3
ACADS.fas	4
ACADSB.fas	8
ACADVL.fas	2
ACAP1.fas	5
ACAP2.fas	6
ACAP3.fas	4
ACAT1.fas	4
ACAT2.fas	5
ACBD3.fas	6
ACBD4.fas	124
ACBD5.fas	25
ACBD6.fas	40
ACBD7.fas	24
ACCS.fas	6
ACCSL.fas	58
ACD.fas	7
ACE.fas	1
ACE2.fas	20
ACER1.fas	5
ACER2.fas	2
ACER3.fas	30
ACHE.fas	5
ACIN1.fas	1
ACKR1.fas	4
ACKR2.fas	26
ACKR3.fas	7
ACKR4.fas	4
ACLY.fas	2
ACMSD.fas	8
ACO1.fas	2
ACO2.fas	2
ACOD1.fas	11
ACOT1.fas	77
ACOT11.fas	7
ACOT12.fas	13
ACOT13.fas	5
ACOT2.fas	102
ACOT4.fas	41
ACOT6.fas	23
ACOT7.fas	6
ACOT8.fas	1
ACOT9.fas	3
ACOX1.fas	3
ACOX2.fas	0
ACOX3.fas	9
ACOXL.fas	105
ACP1.fas	2
ACP2.fas	1
ACP3.fas	7
ACP4.fas	21
ACP5.fas	3
ACP6.fas	13
ACP7.fas	26
ACR.fas	11
ACRBP.fas	3
ACRV1.fas	16
ACSBG1.fas	6
ACSBG2.fas	34
ACSF2.fas	3
ACSF3.fas	12
ACSL1.fas	2
ACSL3.fas	3
ACSL4.fas	7
ACSL5.fas	4
ACSL6.fas	3
ACSM2A.fas	74
ACSM2B.fas	79
ACSM3.fas	47
ACSM4.fas	49
ACSM5.fas	66
ACSM6.fas	219
ACSS1.fas	3
ACSS2.fas	1
ACSS3.fas	3
ACTA1.fas	6
ACTA2.fas	2
ACTB.fas	22
ACTBL2.fas	35
ACTC1.fas	1
ACTG1.fas	20
ACTG2.fas	11
ACTL10.fas	17
ACTL6A.fas	6
ACTL6B.fas	4
ACTL7A.fas	7
ACTL7B.fas	8
ACTL8.fas	31
ACTL9.fas	54
ACTN1.fas	2
ACTN2.fas	8
ACTN3.fas	4
ACTN4.fas	9
ACTR10.fas	6
ACTR1A.fas	1
ACTR1B.fas	2
ACTR2.fas	3
ACTR3.fas	7
ACTR3B.fas	9
ACTR3C.fas	10
ACTR5.fas	5
ACTR6.fas	5
ACTR8.fas	5
ACTRT1.fas	118
ACTRT2.fas	9
ACTRT3.fas	9
ACVR1.fas	3
ACVR1B.fas	5
ACVR1C.fas	4
ACVR2A.fas	2
ACVR2B.fas	3
ACVRL1.fas	0
ACY1.fas	2
ACY3.fas	157
ACYP1.fas	6
ACYP2.fas	208
ADA.fas	5
ADA2.fas	52
ADAD1.fas	6
ADAD2.fas	15
ADAL.fas	4
ADAM10.fas	6
ADAM11.fas	2
ADAM12.fas	6
ADAM15.fas	1
ADAM17.fas	4
ADAM19.fas	1
ADAM2.fas	17
ADAM20.fas	95
ADAM21.fas	78
ADAM22.fas	15
ADAM23.fas	1
ADAM28.fas	4
ADAM29.fas	56
ADAM30.fas	117
ADAM32.fas	22
ADAM33.fas	1
ADAM7.fas	23
ADAM8.fas	3
ADAM9.fas	26
ADAMDEC1.fas	2
ADAMTS1.fas	3
ADAMTS10.fas	5
ADAMTS12.fas	4
ADAMTS13.fas	10
ADAMTS14.fas	4
ADAMTS15.fas	4
ADAMTS16.fas	8
ADAMTS17.fas	48
ADAMTS18.fas	7
ADAMTS19.fas	4
ADAMTS2.fas	2
ADAMTS20.fas	5
ADAMTS3.fas	2
ADAMTS4.fas	4
ADAMTS5.fas	2
ADAMTS6.fas	2
ADAMTS7.fas	23
ADAMTS8.fas	1
ADAMTS9.fas	3
ADAMTSL1.fas	2
ADAMTSL2.fas	5
ADAMTSL3.fas	12
ADAMTSL4.fas	15
ADAMTSL5.fas	9
ADAP1.fas	13
ADAP2.fas	3
ADAR.fas	4
ADARB1.fas	26
ADARB2.fas	13
ADAT1.fas	10
ADAT2.fas	3
ADAT3.fas	22
ADCK1.fas	2
ADCK2.fas	9
ADCK5.fas	6
ADCY1.fas	14
ADCY10.fas	8
ADCY2.fas	7
ADCY3.fas	0
ADCY4.fas	0
ADCY5.fas	6
ADCY6.fas	1
ADCY7.fas	3
ADCY8.fas	4
ADCY9.fas	2
ADCYAP1.fas	0
ADCYAP1R1.fas	3
ADD1.fas	10
ADD2.fas	1
ADD3.fas	3
ADGB.fas	7
ADGRA1.fas	150
ADGRA2.fas	5
ADGRA3.fas	4
ADGRB1.fas	23
ADGRB2.fas	2
ADGRB3.fas	4
ADGRD1.fas	9
ADGRE1.fas	23
ADGRE3.fas	47
ADGRF1.fas	7
ADGRF2.fas	41
ADGRF3.fas	32
ADGRF4.fas	31
ADGRF5.fas	4
ADGRG1.fas	5
ADGRG2.fas	7
ADGRG3.fas	1
ADGRG5.fas	2
ADGRG6.fas	7
ADGRG7.fas	25
ADGRL1.fas	3
ADGRL2.fas	4
ADGRL3.fas	2
ADGRL4.fas	10
ADGRV1.fas	6
ADH1A.fas	21
ADH1C.fas	25
ADH4.fas	58
ADH5.fas	9
ADH6.fas	134
ADH7.fas	161
ADHFE1.fas	3
ADI1.fas	22
ADIG.fas	231
ADIPOQ.fas	4
ADIPOR1.fas	4
ADIPOR2.fas	3
ADIRF.fas	20
ADK.fas	6
ADM.fas	2
ADM2.fas	10
ADM5.fas	234
ADNP.fas	5
ADNP2.fas	8
ADO.fas	7
ADORA1.fas	3
ADORA2A.fas	19
ADORA2B.fas	6
ADORA3.fas	3
ADPGK.fas	13
ADPRH.fas	2
ADPRM.fas	2
ADPRS.fas	2
ADRA1A.fas	5
ADRA1B.fas	4
ADRA1D.fas	37
ADRA2A.fas	35
ADRA2B.fas	9
ADRA2C.fas	77
ADRB1.fas	43
ADRB2.fas	2
ADRB3.fas	29
ADRM1.fas	4
ADSL.fas	9
ADSS1.fas	4
ADSS2.fas	1
ADTRP.fas	16
AEBP1.fas	6
AEBP2.fas	6
AEN.fas	6
AF011889.fas	19
AFAP1.fas	8
AFAP1L1.fas	3
AFAP1L2.fas	2
AFDN.fas	6
AFF1.fas	3
AFF2.fas	13
AFF3.fas	4
AFF4.fas	2
AFG1L.fas	1
AFG3L2.fas	6
AFM.fas	22
AFMID.fas	8
AFP.fas	3
AFTPH.fas	8
AGA.fas	2
AGAP1.fas	5
AGAP2.fas	1
AGBL1.fas	28
AGBL2.fas	10
